JobId,ArrayId,Program,Nodes,Tasks,MaxThreads,Particles,DiffCoeff,TimeStep,EndTime,WallTime
7458,4,mpi,2,4,1,12800,1.5,0.001,100.0,121.582
7458,5,mpi,2,4,1,128000,1.5,0.001,100.0,670.580
7453,6,mpi,1,4,1,1280000,1.5,0.001,100.0,6378.026
7459,1,mpi,2,8,1,12800,1.5,0.001,10.0,10.519
7459,2,mpi,2,8,1,128000,1.5,0.001,10.0,38.662
7459,3,mpi,2,8,1,1280000,1.5,0.001,10.0,326.563
7459,4,mpi,2,8,1,12800,1.5,0.001,100.0,91.958
7459,5,mpi,2,8,1,128000,1.5,0.001,100.0,372.799
7446,6,omp,1,1,2,1280000,1.5,0.001,100.0,12073.295
7459,6,mpi,2,8,1,1280000,1.5,0.001,100.0,3373.093
7460,1,mpi,2,16,1,12800,1.5,0.001,10.0,9.798
7460,2,mpi,2,16,1,128000,1.5,0.001,10.0,25.053
7460,3,mpi,2,16,1,1280000,1.5,0.001,10.0,183.091
7460,4,mpi,2,16,1,12800,1.5,0.001,100.0,80.613
7460,5,mpi,2,16,1,128000,1.5,0.001,100.0,262.823
7452,6,mpi,1,2,1,1280000,1.5,0.001,100.0,12261.605
7457,6,mpi,2,2,1,1280000,1.5,0.001,100.0,8456.581
7461,1,mpi,2,32,1,12800,1.5,0.001,10.0,8.501
7461,2,mpi,2,32,1,128000,1.5,0.001,10.0,17.620
7458,6,mpi,2,4,1,1280000,1.5,0.001,100.0,6202.610
7461,4,mpi,2,32,1,12800,1.5,0.001,100.0,70.568
7461,3,mpi,2,32,1,1280000,1.5,0.001,10.0,103.847
7462,1,mpi,2,64,1,12800,1.5,0.001,10.0,8.989
7462,2,mpi,2,64,1,128000,1.5,0.001,10.0,12.977
7462,3,mpi,2,64,1,1280000,1.5,0.001,10.0,68.101
7461,5,mpi,2,32,1,128000,1.5,0.001,100.0,158.623
7462,4,mpi,2,64,1,12800,1.5,0.001,100.0,66.597
7462,5,mpi,2,64,1,128000,1.5,0.001,100.0,108.740
7463,1,mpi,4,4,1,12800,1.5,0.001,10.0,11.137
7463,2,mpi,4,4,1,128000,1.5,0.001,10.0,48.528
7462,6,mpi,2,64,1,1280000,1.5,0.001,100.0,578.853
7475,1,hybrid,1,1,1,12800,1.5,0.001,10.0,26.455
7460,6,mpi,2,16,1,1280000,1.5,0.001,100.0,1794.620
7463,3,mpi,4,4,1,1280000,1.5,0.001,10.0,426.062
7463,4,mpi,4,4,1,12800,1.5,0.001,100.0,104.940
7475,2,hybrid,1,1,1,128000,1.5,0.001,10.0,175.942
7461,6,mpi,2,32,1,1280000,1.5,0.001,100.0,1021.615
7463,5,mpi,4,4,1,128000,1.5,0.001,100.0,474.055
7464,1,mpi,4,8,1,12800,1.5,0.001,10.0,10.342
7464,2,mpi,4,8,1,128000,1.5,0.001,10.0,37.558
7464,3,mpi,4,8,1,1280000,1.5,0.001,10.0,318.942
7464,4,mpi,4,8,1,12800,1.5,0.001,100.0,90.012
7464,5,mpi,4,8,1,128000,1.5,0.001,100.0,363.444
7475,4,hybrid,1,1,1,12800,1.5,0.001,100.0,225.550
7475,3,hybrid,1,1,1,1280000,1.5,0.001,10.0,1654.586
7475,5,hybrid,1,1,1,128000,1.5,0.001,100.0,1706.107
7476,1,hybrid,1,1,2,12800,1.5,0.001,10.0,18.788
7476,2,hybrid,1,1,2,128000,1.5,0.001,10.0,127.071
7463,6,mpi,4,4,1,1280000,1.5,0.001,100.0,4371.558
7465,1,mpi,4,16,1,12800,1.5,0.001,10.0,13.500
7465,2,mpi,4,16,1,128000,1.5,0.001,10.0,27.373
7464,6,mpi,4,8,1,1280000,1.5,0.001,100.0,3140.608
7465,4,mpi,4,16,1,12800,1.5,0.001,100.0,75.958
7476,4,hybrid,1,1,2,12800,1.5,0.001,100.0,180.581
7465,3,mpi,4,16,1,1280000,1.5,0.001,10.0,197.663
7465,5,mpi,4,16,1,128000,1.5,0.001,100.0,232.276
7466,1,mpi,4,32,1,12800,1.5,0.001,10.0,8.797
7476,3,hybrid,1,1,2,1280000,1.5,0.001,10.0,1211.958
7466,2,mpi,4,32,1,128000,1.5,0.001,10.0,17.197
7466,3,mpi,4,32,1,1280000,1.5,0.001,10.0,95.938
7466,4,mpi,4,32,1,12800,1.5,0.001,100.0,68.798
7466,5,mpi,4,32,1,128000,1.5,0.001,100.0,147.979
7476,5,hybrid,1,1,2,128000,1.5,0.001,100.0,1272.501
7477,1,hybrid,1,1,4,12800,1.5,0.001,10.0,12.470
7477,2,hybrid,1,1,4,128000,1.5,0.001,10.0,71.603
7466,6,mpi,4,32,1,1280000,1.5,0.001,100.0,934.589
7467,1,mpi,4,64,1,12800,1.5,0.001,10.0,7.645
7467,2,mpi,4,64,1,128000,1.5,0.001,10.0,11.745
7467,3,mpi,4,64,1,1280000,1.5,0.001,10.0,60.778
7467,4,mpi,4,64,1,12800,1.5,0.001,100.0,66.614
7467,5,mpi,4,64,1,128000,1.5,0.001,100.0,110.575
7465,6,mpi,4,16,1,1280000,1.5,0.001,100.0,1795.522
7468,1,mpi,4,128,1,12800,1.5,0.001,10.0,8.270
7468,2,mpi,4,128,1,128000,1.5,0.001,10.0,10.250
7468,3,mpi,4,128,1,1280000,1.5,0.001,10.0,35.773
7468,4,mpi,4,128,1,12800,1.5,0.001,100.0,64.583
7468,5,mpi,4,128,1,128000,1.5,0.001,100.0,89.676
7477,3,hybrid,1,1,4,1280000,1.5,0.001,10.0,637.171
7477,4,hybrid,1,1,4,12800,1.5,0.001,100.0,123.412
7467,6,mpi,4,64,1,1280000,1.5,0.001,100.0,547.585
7468,6,mpi,4,128,1,1280000,1.5,0.001,100.0,330.589
7469,1,mpi,8,8,1,12800,1.5,0.001,10.0,9.506
7469,2,mpi,8,8,1,128000,1.5,0.001,10.0,27.648
7469,3,mpi,8,8,1,1280000,1.5,0.001,10.0,217.636
7469,4,mpi,8,8,1,12800,1.5,0.001,100.0,79.542
7477,5,hybrid,1,1,4,128000,1.5,0.001,100.0,687.077
7469,5,mpi,8,8,1,128000,1.5,0.001,100.0,296.181
7469,6,mpi,8,8,1,1280000,1.5,0.001,100.0,2154.392
7470,1,mpi,8,16,1,12800,1.5,0.001,10.0,9.329
7470,2,mpi,8,16,1,128000,1.5,0.001,10.0,23.212
7470,3,mpi,8,16,1,1280000,1.5,0.001,10.0,181.761
7470,4,mpi,8,16,1,12800,1.5,0.001,100.0,74.623
7470,5,mpi,8,16,1,128000,1.5,0.001,100.0,220.344
7470,6,mpi,8,16,1,1280000,1.5,0.001,100.0,1805.957
7471,1,mpi,8,32,1,12800,1.5,0.001,10.0,8.475
7471,2,mpi,8,32,1,128000,1.5,0.001,10.0,14.690
7471,3,mpi,8,32,1,1280000,1.5,0.001,10.0,121.462
7471,4,mpi,8,32,1,12800,1.5,0.001,100.0,67.917
7471,5,mpi,8,32,1,128000,1.5,0.001,100.0,146.098
7471,6,mpi,8,32,1,1280000,1.5,0.001,100.0,1009.363
7472,1,mpi,8,64,1,12800,1.5,0.001,10.0,7.621
7472,2,mpi,8,64,1,128000,1.5,0.001,10.0,12.896
7472,3,mpi,8,64,1,1280000,1.5,0.001,10.0,51.872
7472,4,mpi,8,64,1,12800,1.5,0.001,100.0,65.870
7472,5,mpi,8,64,1,128000,1.5,0.001,100.0,105.637
7477,6,hybrid,1,1,4,1280000,1.5,0.001,100.0,6299.442
7478,1,hybrid,1,1,8,12800,1.5,0.001,10.0,10.812
7478,2,hybrid,1,1,8,128000,1.5,0.001,10.0,41.692
7478,3,hybrid,1,1,8,1280000,1.5,0.001,10.0,351.667
7472,6,mpi,8,64,1,1280000,1.5,0.001,100.0,583.585
7473,1,mpi,8,128,1,12800,1.5,0.001,10.0,8.237
7473,2,mpi,8,128,1,128000,1.5,0.001,10.0,13.416
7473,3,mpi,8,128,1,1280000,1.5,0.001,10.0,39.225
7478,4,hybrid,1,1,8,12800,1.5,0.001,100.0,95.004
7473,4,mpi,8,128,1,12800,1.5,0.001,100.0,63.909
7473,5,mpi,8,128,1,128000,1.5,0.001,100.0,91.578
7478,5,hybrid,1,1,8,128000,1.5,0.001,100.0,410.000
7473,6,mpi,8,128,1,1280000,1.5,0.001,100.0,338.580
7474,1,mpi,8,256,1,12800,1.5,0.001,10.0,7.616
7474,2,mpi,8,256,1,128000,1.5,0.001,10.0,10.675
7474,3,mpi,8,256,1,1280000,1.5,0.001,10.0,22.855
7474,4,mpi,8,256,1,12800,1.5,0.001,100.0,62.214
7474,5,mpi,8,256,1,128000,1.5,0.001,100.0,75.651
7474,6,mpi,8,256,1,1280000,1.5,0.001,100.0,190.426
7480,1,hybrid,1,1,32,12800,1.5,0.001,10.0,12.826
7479,1,hybrid,1,1,16,12800,1.5,0.001,10.0,13.676
7480,2,hybrid,1,1,32,128000,1.5,0.001,10.0,18.721
7479,2,hybrid,1,1,16,128000,1.5,0.001,10.0,29.107
